,Timestamp,Year of joining the Firm ( Eg: 2016) ,Industry Domain,Type ,Firm CTC,Duration of Employment?,Satisfaction in your Company ,Ability to Grow in the industry ,Choice
234,2020/01/19 1:04:11 PM GMT+5:30,2019,Web Scrapiny,1,2,< 1 Year,Satisfied,High Growth,Work
235,2020/01/19 1:08:38 PM GMT+5:30,2019,Networking,0,1,< 1 Year,Very Satisfied,High Growth,Work
236,2020/01/19 5:47:15 PM GMT+5:30,2019,Insurance Domain,0,2,2 Years,Not Satisfied,Low Growth,Higher Studies
237,2020/01/19 6:46:07 PM GMT+5:30,2019,Gaming,1,2,< 1 Year,Very Satisfied,High Growth,Work
238,2020/01/20 8:33:01 AM GMT+5:30,2019,IT,1,2,< 1 Year,Satisfied,Mid Growth,Higher Studies
239,2020/01/20 10:26:22 AM GMT+5:30,2016,Web development,1,3,< 1 Year,Very Satisfied,High Growth,Work
240,2020/01/20 10:29:11 AM GMT+5:30,2019,IT,1,3,< 1 Year,Satisfied,Mid Growth,Work
241,2020/01/20 5:02:22 PM GMT+5:30,2019,IT,1,2,> 3 Years,Very Satisfied,High Growth,Work
242,2020/01/20 11:06:36 PM GMT+5:30,2019,Telecom,1,1,< 1 Year,Very Satisfied,High Growth,Work
243,2020/01/22 1:13:06 AM GMT+5:30,2019,Healthcare,0,1,< 1 Year,Very Satisfied,High Growth,Work
244,2020/01/22 1:32:59 PM GMT+5:30,2019,Telecommunication,0,2,< 1 Year,Satisfied,Mid Growth,Work
245,2020/01/22 11:35:27 PM GMT+5:30,2019,Consulting,0,2,< 1 Year,Very Satisfied,High Growth,Work
246,2020/01/23 2:18:37 AM GMT+5:30,2019,Networking / Telecommunication,0,1,< 1 Year,Very Satisfied,High Growth,Work
247,2020/01/25 11:21:29 AM GMT+5:30,2019,IT,0,3,< 1 Year,Satisfied,Mid Growth,Work
248,2020/02/07 8:43:26 AM GMT+5:30,2019,IT,0,1,< 1 Year,Very Satisfied,High Growth,Work
249,2020/02/11 7:32:21 PM GMT+5:30,2019,IT,0,1,< 1 Year,Very Satisfied,High Growth,Work
250,2020/01/17 4:53:33 PM GMT+5:30,2018,,0,2,2 Years,Very Satisfied,Mid Growth,Higher Studies
